trt_N,treatment,N,block,Neoxanthin,Violaxanthin,Antheraxanthin,Lutein,Zeaxanthin,Chlorophyll-a,Chlorophyll-b,β-Carotene,AZ,VAZ,AZ/VAZ
Drought_0,Drought,0,1,0.027783105,0.02821223,0.00702905,0.099993431,0.013216856,0.130316357,0.292812713,0.029239981,0.020245906,0.048458136,0.4178019971713316
Drought_10,Drought,10,1,0.032093912,0.029342135,0.007961659,0.115500722,0.014572153,0.167115491,0.348935905,0.038692641,0.022533812,0.051875947,0.43437880758109343
Drought_20,Drought,20,1,0.031000681,0.0236924,0.006595382,0.107448932,0.016834971,0.137911231,0.298771533,0.04047069,0.023430353,0.047122753,0.49721952789982365
Drought_50,Drought,50,1,0.017952865,0.003222199,0.012995143,0.165960162,0.156870024,0.220096594,0.13873846,0.119523849,0.16986516699999998,0.173087366,0.9813839734553473
Drought_0,Drought,0,2,0.013165762,0.00625506,0.01619087,0.117334236,0.09660079,0.068161964,0.167599195,0.114991034,0.11279166,0.11904672000000001,0.9474570991960131
Drought_10,Drought,10,2,0.014451941,0.015152623,0.02433363,0.130758784,0.08120969,0.063582999,0.173978492,0.117606421,0.10554332,0.120695943,0.8744562358653596
Drought_20,Drought,20,2,0.01538299,0.007602946,0.014690605,0.105709313,0.076957804,0.113128337,0.263834666,0.086759578,0.091648409,0.09925135500000001,0.9233970558890605
Drought_50,Drought,50,2,0.016459866,0.006281721,0.014674196,0.145235382,0.130741587,0.079102933,0.184099859,0.119342998,0.145415783,0.15169750399999998,0.9585904788519132
Drought_0,Drought,0,3,0.022832587,0.012870604,0.019274432,0.18283988,0.079736483,0.195983485,0.37348987299999997,0.070575574,0.099010915,0.111881519,0.8849621982697607
Drought_10,Drought,10,3,0.010781023,0.005070761,0.014688742,0.112273496,0.106908262,0.052989209,0.143628011,0.132440077,0.12159700400000001,0.126667765,0.9599680234351654
Drought_20,Drought,20,3,0.009740385,0.003770303,0.016726233,0.112978922,0.114405292,0.061835347,0.148813789,0.12960147,0.131131525,0.134901828,0.9720515054844179
Drought_50,Drought,50,3,0.019304165,0.011887721,0.020203865,0.189390564,0.057333366,0.184879474,0.405394868,0.12094267,0.077537231,0.089424952,0.8670648321958283
Drought_0,Drought,0,4,0.02622256,0.016736115,0.02577372,0.204252979,0.071834515,0.231455874,0.487281073,0.107357513,0.097608235,0.11434435,0.8536340886104123
Drought_10,Drought,10,4,0.037653675,0.014705344,0.027886944,0.269868151,0.098687722,0.26754146,0.593011505,0.17824853,0.126574666,0.14128001,0.8959134841510841
Drought_20,Drought,20,4,0.031885876,0.008286994,0.02155575,0.239868272,0.107504959,0.259223273,0.599054597,0.125596489,0.129060709,0.137347703,0.9396641238332177
Drought_50,Drought,50,4,0.017757354,0.007872345,0.022217364,0.14045679,0.145990717,0.156649629,0.392939089,0.106067107,0.16820808099999998,0.17608042599999998,0.9552911974440589
Drought_0,Drought,0,5,0.01890009,0.011483865,0.020935902,0.128891198,0.082107776,0.155014386,0.340458497,0.078984494,0.103043678,0.114527543,0.8997283561736761
Drought_10,Drought,10,5,0.025283245,0.004774809,0.015482906,0.156997843,0.136507547,0.198346522,0.437376336,0.131338696,0.151990453,0.15676526200000002,0.9695416641475073
Drought_20,Drought,20,5,0.030353274,0.01008958,0.025049596,0.28525173,0.053914922,0.258670683,0.513547649,0.146682372,0.078964518,0.089054098,0.8867027994601663
Drought_50,Drought,50,5,0.015581147,0.002048083,0.012595488,0.158034659,0.083154659,0.133099239,0.287809452,0.094274586,0.09575014700000001,0.09779823000000001,0.9790580770224573
Drought_0,Drought,0,6,0.022991263,0.00702936,0.019300589,0.135253309,0.104244602,0.17841933,0.337130548,0.067316023,0.123545191,0.130574551,0.9461659263143857
Drought_10,Drought,10,6,0.022177023,0.008399221,0.025976054,0.203230686,0.092529757,0.185556886,0.37722389,0.115337646,0.118505811,0.126905032,0.9338149097192616
Drought_20,Drought,20,6,0.018962201,0.004617885,0.013290308,0.178845659,0.080144421,0.159313469,0.353267487,0.122092202,0.093434729,0.098052614,0.9529040092699619
